"Task Aware Debugger for GDB" version 11.6.0 (202206271353)
(c) 2016-2022 NXP Semiconductors, Inc.
==================================
14:44:17.47 INFO: [ZephyrRTOS] C:\Temp\221056\8 nxp 15.11\lpcxpresso55s69_hello_world\Debug\.config file could not be read
14:44:17.47 INFO: [TadModel] DSF session ID 29 has started.
14:44:30.40 INFO: [TadState] TAD state changed: DEBUG_STARTED -> DEBUG_INIT_0 (RESUMED, USER_REQUEST)
14:44:30.138 INFO: [TadState] TAD state changed: DEBUG_INIT_0 -> DEBUG_INIT_1 (SUSPENDED, SIGNAL)
14:44:31.754 INFO: [TadState] TAD state changed: DEBUG_INIT_1 -> DEBUG_SUSPENDED (RESUMED, USER_REQUEST)
14:44:31.902 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_SUSPENDED (SUSPENDED, BREAKPOINT)
14:44:37.52 INFO: [TadState] TAD state changed: DEBUG_SUSPENDED -> DEBUG_RESUMED (RESUMED, STEP)
14:44:37.521 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:44:37.588 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:44:38.425 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:44:38.941 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:44:39.757 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:44:47.390 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:44:48.168 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:44:48.789 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:44:49.749 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:44:50.465 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:44:51.313 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:44:57.407 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:44:58.283 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:45:03.426 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:45:03.717 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:45:07.843 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:45:08.210 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, BREAKPOINT)
14:45:08.847 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:45:09.758 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:45:11.717 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:45:12.62 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:45:14.621 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:45:14.996 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:45:17.735 INFO: [TadState] TAD state changed: READY -> DEBUG_RESUMED (RESUMED, STEP)
14:45:18.220 INFO: [TadState] TAD state changed: DEBUG_RESUMED -> READY (SUSPENDED, STEP)
14:45:27.807 INFO: [TadModel] DSF session ID 29 has ended.
